student_id,age,gender,time_spent_on_videos,quiz_attempts,quiz_scores,forum_participation,assignment_completion_rate,engagement_level,final_exam_score,feedback_score,dropout_likelihood,education_level_Postgraduate,education_level_Undergraduate,course_name_Data Science,course_name_Machine Learning,course_name_Python Basics,course_name_Web Development,learning_style_Kinesthetic,learning_style_Reading/Writing,learning_style_Visual,engagement_score,learning_outcome_score,age_group_19–25,age_group_26–35,age_group_36–50,age_group_51+,learner_cluster
S00013,35,0,190,2,97,4,50,1,55,3,1,False,False,False,False,True,False,False,False,False,73.2,57.2,False,True,False,False,0
S00014,29,1,240,2,97,31,99,1,61,3,0,False,True,False,True,False,False,True,False,False,108.3,60.2,False,True,False,False,1
S00015,16,0,157,1,30,46,73,1,49,4,0,False,False,True,False,False,False,False,False,False,78.4,34.3,False,False,False,False,0
S00016,44,0,312,4,53,21,90,2,78,4,0,True,False,False,False,True,False,True,False,False,125.6,55.7,False,False,True,False,1
S00017,37,0,239,1,83,44,65,2,53,2,0,False,False,False,True,False,False,False,False,False,100.2,51.8,False,False,True,False,0
S00018,24,1,150,3,98,20,83,1,62,5,0,False,True,False,True,False,False,True,False,False,74.5,61.4,True,False,False,False,1
S00019,38,1,297,4,30,42,42,0,86,4,0,False,True,False,False,False,True,False,False,True,110.9,52.8,False,False,True,False,2
S00020,40,0,409,4,45,8,50,0,37,4,0,False,False,False,False,False,False,False,False,True,140.1,32.8,False,False,True,False,2
S00021,48,0,222,4,65,28,95,1,44,4,0,False,True,False,True,False,False,False,False,True,101.5,42.3,False,False,True,False,1
S00022,28,0,96,3,51,38,83,2,69,3,0,True,False,False,False,False,False,False,False,False,61.9,50.4,False,True,False,False,1
S00023,24,1,338,2,32,15,54,1,93,3,0,True,False,False,False,False,False,False,False,True,121.0,56.7,True,False,False,False,0
S00024,28,1,452,2,85,49,45,1,68,4,0,False,False,True,False,False,False,False,False,True,159.3,60.3,False,True,False,False,0
S00025,40,0,295,2,84,42,95,1,36,2,0,False,True,False,False,False,True,False,False,False,125.8,43.6,False,False,True,False,1
S00026,23,0,371,1,67,46,79,0,32,5,0,False,False,True,False,False,False,False,False,False,144.4,37.1,True,False,False,False,0
S00027,30,0,309,4,54,39,59,1,90,2,1,False,False,False,False,True,False,False,False,True,119.0,61.6,False,True,False,False,2
S00028,26,0,484,2,59,15,89,0,87,4,0,True,False,False,False,False,False,False,False,True,175.3,62.0,False,True,False,False,1
S00029,30,1,67,4,99,27,89,0,50,3,0,False,True,False,False,False,False,False,True,False,53.0,55.3,False,True,False,False,1
S00030,44,0,408,4,44,44,90,1,65,4,0,False,True,False,False,False,True,True,False,False,159.0,46.5,False,False,True,False,1
S00031,17,1,276,2,94,31,61,1,62,3,0,True,False,False,True,False,False,True,False,False,107.7,59.8,False,False,False,False,0
S00032,42,1,74,1,89,31,86,2,55,3,0,False,False,False,False,False,False,True,False,False,54.4,54.8,False,False,True,False,1
S00033,30,1,350,2,54,49,52,0,79,4,0,False,True,True,False,False,False,True,False,False,130.8,56.5,False,True,False,False,0
S00034,25,0,321,4,45,28,46,2,61,5,0,True,False,True,False,False,False,False,False,True,116.5,45.0,True,False,False,False,2
S00035,17,2,83,4,46,11,44,2,88,2,0,False,True,False,False,False,True,False,False,False,41.1,58.2,False,False,False,False,2
S00036,21,0,77,2,35,29,64,2,67,5,1,False,False,False,False,True,False,False,True,False,48.5,45.0,True,False,False,False,0
S00037,16,1,435,2,46,7,67,0,95,3,1,False,False,False,False,True,False,False,False,False,152.4,61.9,False,False,False,False,0
S00038,37,1,258,1,35,15,90,2,31,1,1,False,False,False,False,True,False,True,False,False,107.6,26.2,False,False,True,False,1
S00039,46,1,227,3,52,3,88,1,52,2,0,False,True,False,False,False,True,False,False,True,95.7,42.0,False,False,True,False,1
S00040,47,1,309,1,36,35,53,1,96,2,1,False,False,False,True,False,False,False,False,True,115.8,59.2,False,False,True,False,0
S00041,38,1,138,3,72,5,87,1,87,2,0,False,True,False,False,False,True,False,False,False,69.1,65.5,False,False,True,False,1
S00042,20,1,66,2,53,19,79,2,68,4,0,False,True,False,False,False,True,False,False,False,47.7,50.7,True,False,False,False,1
S00043,48,0,314,3,77,3,53,2,69,3,0,False,True,True,False,False,False,False,True,False,111.3,58.2,False,False,True,False,2
S00044,28,1,405,4,68,1,87,1,53,1,0,True,False,False,False,False,True,False,True,False,148.6,47.1,False,True,False,False,1
S00045,33,1,214,3,31,36,99,0,64,4,1,False,True,False,False,False,False,False,False,True,101.7,42.1,False,True,False,False,1
S00046,38,2,350,1,79,41,67,2,96,4,1,False,False,False,False,False,False,False,False,False,133.5,72.5,False,False,True,False,0
S00047,31,0,143,1,70,0,93,1,86,5,0,False,False,False,True,False,False,True,False,False,71.0,65.0,False,True,False,False,1
S00048,47,1,122,3,43,0,75,1,77,5,0,True,False,False,False,False,True,False,False,False,59.7,52.4,False,False,True,False,2
S00049,18,0,10,1,91,19,50,0,53,2,0,False,False,False,False,False,False,False,False,True,22.0,54.2,False,False,False,False,0
S00050,43,0,246,4,73,30,86,1,95,3,0,False,False,True,False,False,False,False,False,True,106.4,70.0,False,False,True,False,1
S00051,45,0,63,3,46,40,64,0,77,1,1,False,False,False,False,False,True,False,False,True,46.7,52.5,False,False,True,False,2
S00052,34,2,460,4,36,40,61,1,65,5,1,False,True,False,True,False,False,False,False,True,165.1,44.3,False,True,False,False,2
S00053,25,0,116,2,93,1,51,0,66,1,0,False,True,False,False,True,False,False,True,False,50.7,61.1,True,False,False,False,0
S00054,46,0,360,4,73,14,98,2,36,3,0,False,True,False,False,False,True,True,False,False,141.0,40.5,False,False,True,False,1
S00055,19,0,353,3,94,0,99,2,32,1,0,False,False,True,False,False,False,False,False,True,136.2,44.4,True,False,False,False,1
S00056,42,0,471,2,68,21,97,1,40,5,0,True,False,False,True,False,False,False,False,True,175.0,41.4,False,False,True,False,1
S00057,39,0,391,1,92,20,42,1,58,4,0,False,True,False,False,False,True,False,False,True,134.1,57.4,False,False,True,False,0
S00058,32,1,412,4,74,14,64,1,96,5,1,False,True,False,False,False,True,True,False,False,146.4,71.2,False,True,False,False,2
S00059,17,1,212,4,65,18,40,0,39,5,0,False,True,True,False,False,False,False,True,False,80.0,40.0,False,False,False,False,2
S00060,44,1,147,2,34,3,48,1,76,4,0,False,False,True,False,False,False,False,False,True,59.5,49.0,False,False,True,False,0
S00061,42,0,388,2,62,21,65,1,98,5,0,False,False,False,False,False,False,True,False,False,140.5,68.6,False,False,True,False,0
S00062,26,0,316,1,32,19,62,0,58,1,0,True,False,False,False,True,False,True,False,False,117.4,38.8,False,True,False,False,0
S00063,21,1,415,1,94,39,91,2,34,2,0,True,False,False,False,False,True,True,False,False,159.8,45.6,True,False,False,False,1
S00064,20,0,350,1,58,9,53,2,74,4,0,False,True,False,True,False,False,False,False,True,122.9,55.2,True,False,False,False,0
S00065,17,1,279,2,40,13,70,2,53,2,0,False,True,True,False,False,False,False,True,False,107.7,38.9,False,False,False,False,0
S00066,49,1,376,1,84,46,70,1,37,4,0,False,True,False,False,False,False,False,True,False,143.2,44.5,False,False,True,False,0
S00067,16,1,356,1,86,27,81,2,74,3,0,True,False,False,False,False,True,True,False,False,136.7,63.4,False,False,False,False,1
S00068,17,1,133,1,57,19,74,0,52,1,0,False,True,False,True,False,False,False,False,True,66.1,43.3,False,False,False,False,0
S00069,44,0,131,2,48,48,53,2,41,2,0,True,False,False,False,False,False,False,True,False,65.2,35.3,False,False,True,False,0
S00070,32,1,458,2,57,19,67,1,98,1,0,False,True,False,False,True,False,False,False,False,161.7,66.3,False,True,False,False,0
S00071,20,1,207,4,87,7,79,1,54,4,0,False,True,False,False,False,True,False,True,False,88.0,53.9,True,False,False,False,2
S00072,23,1,136,4,61,41,55,0,89,5,0,True,False,True,False,False,False,False,True,False,66.3,63.8,True,False,False,False,2
S00073,20,0,449,4,34,4,69,0,38,4,1,False,True,False,False,True,False,False,False,False,157.0,30.0,True,False,False,False,2
S00074,42,1,433,2,31,19,41,1,49,4,1,True,False,False,False,False,True,False,False,True,146.4,34.6,False,False,True,False,0
S00075,44,0,122,4,43,22,81,0,98,4,0,False,False,True,False,False,False,False,False,False,66.1,62.7,False,False,True,False,2
S00076,27,1,79,3,52,41,80,2,97,5,1,False,False,False,False,False,False,False,False,False,56.5,65.1,False,True,False,False,1
S00077,37,0,457,1,36,44,86,1,55,5,0,False,True,False,True,False,False,False,False,True,171.9,39.3,False,False,True,False,1
S00078,43,1,200,1,41,9,47,1,69,1,0,True,False,False,True,False,False,False,False,True,76.1,47.0,False,False,True,False,0
S00079,31,0,472,4,46,48,56,0,32,3,1,False,True,False,False,False,False,True,False,False,168.8,30.4,False,True,False,False,2
S00080,38,1,490,4,35,22,46,1,81,3,0,False,True,True,False,False,False,False,True,False,166.0,51.6,False,False,True,False,2
S00081,17,0,51,1,50,2,96,0,83,5,0,True,False,True,False,False,False,False,True,False,44.7,57.5,False,False,False,False,1
S00082,23,0,480,1,95,33,93,1,76,4,1,True,False,False,False,True,False,True,False,False,178.7,67.3,True,False,False,False,1
S00083,33,0,117,1,85,1,51,1,38,2,0,False,True,False,True,False,False,False,True,False,50.8,44.9,False,True,False,False,0
S00084,41,1,173,4,51,9,75,0,97,4,0,False,True,False,False,True,False,True,False,False,77.0,64.6,False,False,True,False,2
S00085,15,1,157,3,73,39,62,1,65,3,0,False,True,False,True,False,False,True,False,False,74.1,55.0,False,False,False,False,2
S00086,43,1,214,3,84,35,92,1,51,3,0,True,False,False,True,False,False,False,False,True,99.4,51.3,False,False,True,False,1
S00087,38,1,371,2,45,19,77,1,98,2,0,False,True,False,False,True,False,True,False,False,138.6,62.9,False,False,True,False,1
S00088,43,0,443,1,75,1,80,0,86,3,0,False,True,True,False,False,False,False,False,True,157.3,66.1,False,False,True,False,0
S00089,39,0,113,4,75,47,69,1,96,3,1,False,True,False,True,False,False,False,False,True,64.8,71.1,False,False,True,False,2
S00090,20,1,198,4,67,46,50,1,89,2,1,False,True,False,False,True,False,False,True,False,84.4,65.0,True,False,False,False,2
S00091,22,0,139,1,56,12,89,1,59,2,0,True,False,False,False,False,False,True,False,False,71.0,46.7,True,False,False,False,1
S00092,22,0,284,4,36,16,82,2,61,4,0,False,True,True,False,False,False,False,True,False,113.8,42.1,True,False,False,False,2
S00093,20,0,307,1,65,19,49,1,57,4,0,False,True,False,True,False,False,False,False,True,110.8,48.8,True,False,False,False,0
S00094,21,1,299,1,84,3,85,0,62,3,1,False,False,True,False,False,False,False,False,False,116.0,56.8,True,False,False,False,1
S00095,45,0,115,1,87,46,80,1,93,4,0,False,False,False,False,True,False,False,False,False,67.9,73.4,False,False,True,False,0
S00096,38,0,116,1,85,13,57,1,62,2,1,False,False,False,False,False,True,False,True,False,54.7,56.9,False,False,True,False,0
S00097,22,0,404,3,47,16,68,2,81,3,1,False,True,False,False,True,False,False,False,False,145.4,55.2,True,False,False,False,2
S00098,46,1,174,3,63,1,75,1,50,3,0,False,True,False,False,False,True,False,False,True,75.5,44.5,False,False,True,False,2
S00099,33,1,17,3,96,5,75,1,48,4,0,False,True,False,False,True,False,False,True,False,29.2,53.6,False,True,False,False,1
S00100,46,1,232,1,86,25,44,2,79,5,0,False,True,True,False,False,False,True,False,False,88.0,66.3,False,False,True,False,0
S00101,20,0,164,4,31,19,54,1,67,1,0,True,False,False,False,False,True,True,False,False,70.0,43.0,True,False,False,False,2
S00102,40,0,113,2,36,28,98,2,68,4,1,False,False,False,False,True,False,False,False,True,69.3,45.6,False,False,True,False,1
S00103,25,1,10,3,87,5,84,2,85,5,0,False,True,False,False,False,True,False,False,False,29.8,69.6,True,False,False,False,1
S00104,28,1,282,4,82,43,82,0,78,1,0,False,True,False,False,False,True,False,False,True,118.6,63.8,False,True,False,False,1
S00105,36,1,261,3,76,11,88,1,37,2,0,False,True,False,False,True,False,False,True,False,107.5,41.7,False,False,True,False,1
S00106,33,1,38,4,53,17,58,2,35,4,0,False,True,False,False,False,True,False,True,False,33.0,34.2,False,True,False,False,2
S00107,22,0,130,4,88,20,96,1,89,1,0,False,True,False,False,False,False,True,False,False,72.6,71.1,True,False,False,False,1
S00108,46,0,42,1,74,11,92,1,89,4,0,False,True,True,False,False,False,True,False,False,42.6,67.5,False,False,True,False,1
S00109,27,0,213,1,57,8,58,1,95,4,0,False,False,False,False,False,False,False,False,True,83.1,65.4,False,True,False,False,0
S00110,33,0,322,4,40,7,67,1,35,1,1,False,True,True,False,False,False,True,False,False,118.9,29.7,False,True,False,False,2
S00111,18,1,418,3,68,9,90,1,48,2,1,False,True,True,False,False,False,False,False,False,154.8,44.8,False,False,False,False,1
S00112,31,0,320,1,34,2,88,2,88,5,0,False,False,False,True,False,False,True,False,False,123.0,55.2,False,True,False,False,1
S00113,38,1,414,2,43,15,65,0,95,5,1,True,False,False,False,False,False,False,True,False,147.1,61.4,False,False,True,False,0
S00114,15,1,266,4,57,32,88,2,64,3,0,True,False,False,True,False,False,False,False,True,113.4,49.7,False,False,False,False,1
S00115,18,0,439,1,79,17,98,0,81,1,1,False,True,False,True,False,False,True,False,False,164.7,64.4,False,False,False,False,1
S00116,47,0,332,1,38,47,74,2,72,5,1,False,True,False,True,False,False,False,True,False,131.4,48.4,False,False,True,False,0
S00117,41,0,294,1,41,1,82,2,52,3,1,False,False,False,False,False,True,False,False,False,113.2,38.9,False,False,True,False,0
S00118,49,1,77,2,60,9,73,2,75,1,0,False,True,False,False,False,True,False,False,False,47.2,55.7,False,False,True,False,0
S00119,44,1,347,3,86,9,94,0,62,3,0,False,False,False,False,False,False,False,False,False,134.7,57.4,False,False,True,False,1
S00120,49,1,44,3,47,48,77,1,97,4,0,False,True,False,False,False,True,False,False,False,46.5,63.4,False,False,True,False,1
S00121,17,0,313,2,33,11,41,1,93,4,1,False,True,True,False,False,False,False,False,False,108.8,57.2,False,False,False,False,0
S00122,16,1,342,2,54,37,93,2,66,2,1,False,True,False,False,False,True,False,False,True,138.3,49.6,False,False,False,False,1
S00123,32,1,139,3,82,10,80,0,37,1,1,False,True,False,False,True,False,False,False,True,68.3,43.3,False,True,False,False,1
S00124,15,0,433,4,59,13,54,0,56,5,0,False,False,True,False,False,False,False,False,False,149.5,46.7,False,False,False,False,2
S00125,42,0,483,1,38,24,92,2,79,3,1,False,True,True,False,False,False,False,False,False,177.5,51.5,False,False,True,False,1
S00126,24,0,492,3,96,34,60,0,39,5,0,True,False,False,False,True,False,False,False,True,173.0,49.3,True,False,False,False,2
S00127,35,1,230,3,48,9,56,1,83,3,0,False,False,False,False,False,False,False,False,True,88.2,56.5,False,True,False,False,2
S00128,17,1,323,3,98,10,42,0,52,3,1,True,False,False,False,True,False,True,False,False,112.1,56.0,False,False,False,False,2
S00129,15,1,167,4,78,43,55,2,38,1,0,True,False,False,False,False,False,True,False,False,76.0,42.6,False,False,False,False,2
S00130,34,0,443,2,63,5,89,1,86,2,0,False,True,False,False,False,False,False,False,True,161.0,62.3,False,True,False,False,1
S00131,18,1,410,3,37,19,95,1,94,2,0,False,False,True,False,False,False,False,True,False,155.9,58.5,False,False,False,False,1
S00132,40,0,435,1,38,39,59,1,96,1,0,False,True,True,False,False,False,False,False,True,156.2,59.6,False,False,True,False,0
S00133,16,0,340,4,89,23,47,0,91,3,0,True,False,False,True,False,False,False,True,False,121.5,72.8,False,False,False,False,2
S00134,17,1,105,2,54,35,73,1,38,1,0,True,False,False,True,False,False,False,False,True,60.8,35.4,False,False,False,False,0
S00135,28,0,122,2,52,36,53,1,40,5,0,False,True,False,False,True,False,False,False,True,60.1,36.6,False,True,False,False,0
S00136,47,1,289,4,68,21,90,1,70,1,0,True,False,False,False,False,True,True,False,False,118.7,55.6,False,False,True,False,1
S00137,35,1,457,3,81,38,83,1,81,3,0,False,True,False,True,False,False,False,False,True,170.2,65.4,False,True,False,False,1
S00138,48,0,146,2,82,17,59,2,38,3,0,False,True,False,False,False,True,False,True,False,65.3,44.2,False,False,True,False,0
S00139,27,1,445,3,45,44,87,1,70,5,0,False,True,False,True,False,False,True,False,False,169.0,49.5,False,True,False,False,1
S00140,49,1,442,1,97,13,93,1,59,5,0,False,True,False,False,False,False,True,False,False,163.3,59.6,False,False,True,False,1
S00141,24,1,170,4,30,33,70,1,47,5,0,False,True,False,True,False,False,False,False,False,79.4,33.5,True,False,False,False,2
S00142,44,1,259,2,72,9,44,2,86,3,0,False,False,False,False,False,False,False,True,False,93.1,65.2,False,False,True,False,0
S00143,22,1,294,1,76,16,53,2,55,4,0,False,True,False,False,False,False,True,False,False,107.5,51.1,True,False,False,False,0
S00144,22,1,136,2,88,20,77,1,92,1,0,False,True,False,False,True,False,False,False,False,68.3,72.6,True,False,False,False,1
S00145,32,1,458,3,53,17,57,1,53,2,0,False,False,False,True,False,False,False,False,False,158.5,42.8,False,True,False,False,2
S00146,23,0,194,4,82,10,57,1,66,5,1,True,False,True,False,False,False,False,False,False,78.1,58.6,True,False,False,False,2
S00147,30,0,414,2,98,39,97,0,87,2,0,True,False,True,False,False,False,False,False,True,161.5,73.3,False,True,False,False,1
S00148,35,1,356,2,78,44,84,2,43,2,0,False,False,False,False,True,False,False,False,False,141.2,45.3,False,True,False,False,1
S00149,25,1,472,2,32,9,79,1,95,1,0,False,True,True,False,False,False,False,True,False,167.5,57.3,True,False,False,False,1
S00150,26,0,420,2,99,4,77,1,87,3,1,False,True,False,True,False,False,False,False,True,150.3,73.8,False,True,False,False,1
S00151,26,0,386,3,68,20,86,2,38,5,0,False,True,False,True,False,False,False,False,False,146.2,40.4,False,True,False,False,1
S00152,40,0,96,1,85,26,47,1,50,2,1,False,False,True,False,False,False,False,True,False,48.3,50.9,False,False,True,False,0
S00153,45,1,79,1,41,32,44,1,73,5,0,False,True,True,False,False,False,False,False,False,43.5,49.8,False,False,True,False,0
S00154,38,1,145,4,98,18,90,2,85,3,0,False,True,True,False,False,False,False,False,False,74.9,72.5,False,False,True,False,1
S00155,46,0,411,2,65,39,61,2,80,1,0,True,False,True,False,False,False,True,False,False,149.8,59.7,False,False,True,False,0
S00156,28,0,86,2,92,2,88,2,63,4,1,False,True,False,False,False,False,False,False,False,53.0,59.9,False,True,False,False,1
S00157,18,1,53,3,39,11,58,2,42,2,0,False,False,False,True,False,False,False,False,True,36.1,33.1,False,False,False,False,2
S00158,38,2,426,4,62,20,44,2,92,1,0,True,False,False,False,False,True,False,False,True,145.8,64.8,False,False,True,False,2
S00159,26,0,425,3,55,44,52,1,97,2,0,False,False,False,False,False,True,True,False,False,152.5,65.4,False,True,False,False,2
S00160,25,1,112,2,87,4,86,0,40,5,0,False,True,True,False,False,False,False,True,False,60.6,47.1,True,False,False,False,1
S00161,25,1,231,1,64,18,87,0,84,5,0,False,True,False,False,True,False,False,False,False,99.2,62.2,True,False,False,False,1
S00162,35,0,183,3,89,15,91,0,95,2,0,False,True,False,False,False,True,False,False,False,85.8,74.6,False,True,False,False,1
S00163,26,0,245,4,71,0,74,2,94,4,0,False,True,False,True,False,False,True,False,False,96.5,69.1,False,True,False,False,2
S00164,44,1,142,1,86,28,94,1,79,5,0,False,False,False,False,False,False,False,True,False,76.6,66.3,False,False,True,False,1
S00165,18,0,319,2,37,21,53,1,43,1,0,True,False,False,False,False,True,False,False,True,116.2,32.8,False,False,False,False,0
S00166,22,2,183,2,74,38,89,1,32,1,0,False,True,False,False,False,False,False,False,False,89.6,38.4,True,False,False,False,1
S00167,26,1,393,3,70,16,46,0,91,2,1,True,False,False,False,False,False,True,False,False,135.5,66.9,False,True,False,False,2
S00168,29,0,454,4,31,49,75,1,62,5,0,False,False,False,False,False,False,False,False,True,169.3,41.3,False,True,False,False,2
S00169,15,1,406,3,53,46,55,1,85,4,1,False,True,False,False,False,True,True,False,False,148.1,59.2,False,False,False,False,2
S00170,29,1,425,4,56,12,67,0,92,1,0,False,True,False,False,False,True,False,True,False,150.8,63.0,False,True,False,False,2
S00171,16,1,326,4,78,9,59,1,60,1,0,False,True,True,False,False,False,True,False,False,118.1,53.6,False,False,False,False,2
S00172,22,1,408,4,48,25,49,0,48,4,0,False,True,False,False,False,False,True,False,False,142.9,39.2,True,False,False,False,2
S00173,18,0,499,3,71,33,76,2,33,1,1,False,True,False,False,False,False,True,False,False,179.7,38.0,False,False,False,False,1
S00174,27,0,276,2,83,38,96,1,89,1,0,False,False,False,False,True,False,False,False,False,119.6,69.6,False,True,False,False,1
S00175,32,1,469,3,86,20,89,1,90,2,1,True,False,False,False,True,False,True,False,False,172.0,71.2,False,True,False,False,1
S00176,31,1,59,3,43,9,62,2,50,3,1,False,True,False,True,False,False,False,False,False,38.7,38.5,False,True,False,False,2
S00177,29,0,76,2,99,45,77,1,90,2,0,False,True,False,False,True,False,True,False,False,55.3,75.1,False,True,False,False,1
S00178,24,1,127,4,46,8,91,1,72,4,0,False,False,False,False,False,False,True,False,False,67.8,50.6,True,False,False,False,1
S00179,43,1,333,1,96,23,55,2,74,2,0,False,True,False,False,False,False,True,False,False,121.2,66.2,False,False,True,False,0
S00180,28,0,216,4,75,23,40,1,71,1,0,False,True,False,False,True,False,False,False,False,82.2,58.2,False,True,False,False,2
S00181,33,0,234,4,55,30,61,1,80,4,0,False,True,False,True,False,False,False,True,False,95.3,57.3,False,True,False,False,2
S00182,39,1,459,3,78,31,43,0,73,5,0,False,True,False,True,False,False,False,False,False,157.4,60.9,False,False,True,False,2
S00183,48,1,399,3,34,33,99,0,33,4,0,False,True,False,False,False,True,False,False,True,156.6,27.5,False,False,True,False,1
S00184,36,0,73,2,75,27,79,1,96,5,0,False,True,False,False,False,False,True,False,False,51.4,71.5,False,False,True,False,1
S00185,30,0,147,1,52,23,84,1,53,2,0,False,True,False,True,False,False,False,False,False,74.1,42.5,False,True,False,False,1
S00186,47,0,152,3,77,6,81,1,78,2,0,False,False,False,False,False,True,False,False,True,71.7,62.5,False,False,True,False,1
S00187,28,1,184,4,72,13,95,0,83,5,0,False,False,False,False,False,True,True,False,False,87.1,64.1,False,True,False,False,1
S00188,44,0,63,3,57,46,92,0,42,2,0,False,False,False,True,False,False,False,False,True,56.3,38.5,False,False,True,False,1
S00189,22,2,345,4,82,19,68,2,45,4,0,False,True,True,False,False,False,False,False,True,128.5,47.9,True,False,False,False,2
S00190,20,1,447,3,69,32,52,1,47,5,0,False,True,False,True,False,False,False,False,False,156.7,45.2,True,False,False,False,2
S00191,33,0,357,4,49,27,57,1,87,1,0,False,True,False,True,False,False,False,False,False,130.4,58.4,False,True,False,False,2
S00192,49,0,29,3,78,20,67,0,60,5,0,False,True,False,False,True,False,False,False,True,33.4,54.4,False,False,True,False,2
S00193,20,2,110,1,38,38,50,1,91,4,0,False,True,False,False,False,True,False,True,False,55.8,57.7,True,False,False,False,0
S00194,45,0,303,4,58,32,64,2,89,1,0,True,False,False,True,False,False,False,True,False,117.3,62.1,False,False,True,False,2
S00195,15,1,214,2,36,7,48,0,46,2,1,False,True,False,False,True,False,False,False,False,80.4,34.2,False,False,False,False,0
S00196,21,1,335,2,87,48,99,0,96,5,0,True,False,True,False,False,False,True,False,False,140.2,75.1,True,False,False,False,1
S00197,45,1,412,2,41,35,76,1,62,1,0,False,False,False,False,True,False,False,False,True,153.8,43.5,False,False,True,False,1
S00198,48,0,70,2,84,17,42,1,54,5,0,False,True,False,False,False,True,True,False,False,37.4,53.2,False,False,True,False,0
S00199,39,1,491,1,54,30,95,2,90,2,0,True,False,False,False,False,False,False,False,True,182.0,61.6,False,False,True,False,1
S00200,25,0,470,3,94,25,53,1,66,4,1,True,False,False,False,False,False,False,False,True,162.5,62.0,True,False,False,False,2
S00201,15,1,347,3,45,47,58,2,84,5,0,False,True,False,False,False,False,False,False,True,131.5,56.5,False,False,False,False,2
S00202,36,0,417,2,41,31,81,0,98,2,0,False,True,False,False,True,False,False,False,False,156.0,61.7,False,False,True,False,1
S00203,20,0,317,4,75,30,89,2,30,4,0,False,False,False,False,False,True,False,False,True,128.6,38.3,True,False,False,False,1
S00204,16,0,28,1,38,29,67,1,33,3,0,False,False,True,False,False,False,True,False,False,34.5,28.5,False,False,False,False,0
S00205,28,1,408,4,37,29,71,1,42,2,1,False,True,False,False,False,False,True,False,False,150.3,32.5,False,True,False,False,2
S00206,29,0,433,1,94,17,83,2,65,1,0,True,False,True,False,False,False,True,False,False,158.4,60.9,False,True,False,False,1
S00207,39,0,489,2,41,44,98,1,88,3,0,False,False,False,False,True,False,False,False,False,185.3,56.9,False,False,True,False,1
S00208,26,0,463,1,39,20,93,1,82,5,0,True,False,False,False,False,True,False,False,True,171.0,53.7,False,True,False,False,1
S00209,41,0,422,2,92,31,87,1,57,4,1,True,False,False,False,True,False,False,False,False,159.3,56.9,False,False,True,False,1
S00210,46,0,417,4,97,1,99,1,47,2,0,False,True,True,False,False,False,False,False,True,155.8,53.0,False,False,True,False,1
S00211,23,0,279,3,88,27,70,1,90,2,0,True,False,True,False,False,False,False,False,True,110.7,71.8,True,False,False,False,1
S00212,40,1,52,3,40,39,88,1,99,3,0,False,True,False,True,False,False,False,False,True,50.4,62.1,False,False,True,False,1
S00213,17,1,15,1,33,45,97,1,62,3,1,True,False,False,False,False,False,False,False,True,42.8,41.5,False,False,False,False,1
S00214,37,0,212,3,43,47,92,0,66,5,0,False,True,False,False,False,False,True,False,False,101.2,46.9,False,False,True,False,1
S00215,46,0,484,3,86,48,86,2,73,4,0,False,True,False,False,True,False,False,False,False,181.2,63.1,False,False,True,False,1
S00216,43,0,436,1,30,32,88,0,38,1,0,False,False,False,False,False,True,False,False,True,163.8,28.2,False,False,True,False,1
S00217,15,0,455,3,99,41,86,1,62,3,0,True,False,False,False,False,True,False,True,False,171.1,61.3,False,False,False,False,1
S00218,31,0,133,3,92,3,78,2,78,5,0,True,False,False,True,False,False,False,False,True,64.5,67.6,False,True,False,False,1
